IMGT/HLA Database Version	CWD Catalogue Version	Date
3.9.0	2.0.0	Oct-12
3.21.0	2.1.0	Jul-2015
3.22.0	2.2.0	Oct-2015
3.23.0	2.3.0	Jan-2016
3.24.0	2.4.0	Apr-2016
3.25.0	2.5.0	Jul-2016
3.26.0	2.6.0	Oct-2016
3.27.0	2.7.0	Jan-2017
3.28.0	2.8.0	Apr-2017
3.29.0	2.9.0	Jul-2017
3.30.0	2.10.0	Oct-2017
3.31.0	2.11.0	Jan-2018
3.32.0	2.12.0	Apr-2018
3.33.0	2.13.0	Jul-2018
3.34.0	2.14.0	Oct-2018
3.35.0	2.15.0	Jan-2019
3.36.0	2.16.0	Apr-2019
3.37.0	2.17.0	Jul-2019
3.38.0	2.18.0	Oct-2018
3.39.0	2.19.0	Jan-2020
3.40.0	2.20.0	Apr-2020
3.41.0	2.21.0	Jul-2020
3.42.0	2.22.0	Oct-2020
3.43.0	2.23.0	Jan-2021
3.44.0	2.24.0	Apr-2021
3.45.0	2.25.0	Jul-2021
3.46.0	2.26.0	Oct-2021
3.47.0	2.27.0	Jan-2022
3.48.0	2.28.0	Apr-2022
3.49.0	2.29.0	Jul-2022
3.50.0	2.30.0	Oct-2022
3.51.0	2.31.0	Jan-2023
3.52.0	2.32.0	Apr-2023
3.53.0	2.33.0	Jul-2023
3.54.0	2.34.0	Oct-2023
3.55.0	2.35.0	Jan-2024
3.56.0	2.36.0	Apr-2024
3.57.0	2.37.0	Jul-2024
3.58.0	2.38.0	Oct-2024
3.59.0	2.39.0	Jan-2025
3.60.0	2.40.0	Apr-2025
